<built-in method now of type object at 0x00007FFB2FAF8CD0>|Tab_Etuc 的伺服器一般etuc_tab#01545641856
2023-10-28 12:38:19.867399|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:微波爐烘乾的部分
2023-10-28 12:38:36.278587|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字your_momlol#0message:.w.
2023-10-28 15:33:50.927027|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:
2023-10-28 15:34:02.275617|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:傷害夠噁
2023-10-28 16:33:10.340280|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:
2023-10-28 16:33:18.100551|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:這樣都可以入圍
2023-10-28 17:56:34.125516|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:<@769496730071990303>
2023-10-28 17:56:44.280426|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:又掛機了?
2023-10-28 18:02:27.909172|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字your_momlol#0message:高強度掛機
2023-10-28 18:03:08.716241|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:awa
2023-10-28 18:04:03.664103|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:<@769496730071990303>
2023-10-28 18:10:15.653087|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:你可以開麥嗎?
2023-10-28 18:13:08.906608|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:<@769496730071990303>
2023-10-28 18:19:20.423939|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:qq
2023-10-28 18:19:41.715997|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:我在搞病毒
2023-10-28 18:24:15.958509|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:你是用錢買的嗎?
2023-10-28 18:24:38.664358|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:用匯的?
2023-10-28 18:26:24.626457|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:剛剛看你用的軟體是要錢的
2023-10-28 18:26:51.355031|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:找代購
2023-10-28 18:27:09.043491|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:我要來邊吃邊聽
2023-10-28 18:27:57.263940|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:有考慮要買Steam的序號卡
2023-10-28 18:31:49.101084|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:找代購
2023-10-28 18:32:18.542617|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:150TWD :legit72:  170:moneycash:
2023-10-28 18:32:54.823451|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:要不然你直接密北極
2023-10-28 18:33:02.805838|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:搞不好北極會算便宜一點
2023-10-28 18:33:21.508984|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字starber9791#0message:
2023-10-28 18:34:05.998487|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:這又是啥?
2023-10-28 18:36:17.034996|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:確定不是虛擬機的問題
2023-10-28 18:36:38.951556|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:666
2023-10-28 18:36:48.232587|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:<@846014073896304640> 我覺得可以放出來
2023-10-28 18:36:51.563462|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:有點刺激
2023-10-28 18:37:10.148594|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:weeeeeeee
2023-10-28 18:37:51.115916|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:<@1000755126920806561>
2023-10-28 18:37:57.428162|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:?
2023-10-28 18:37:57.817795|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字AliceBot#0446message:?
2023-10-28 18:38:02.074413|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:幫我截圖
2023-10-28 18:38:14.925421|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:我手機看還挺糊的
2023-10-28 18:38:21.724586|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:
2023-10-28 18:38:36.110456|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:水
2023-10-28 18:46:39.476691|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:這東西真的很有料
2023-10-28 18:46:56.539130|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:
2023-10-28 18:47:41.808068|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:
2023-10-28 18:50:41.784538|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:確實
2023-10-28 18:50:53.694281|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:跟隔壁那個樂園一樣
2023-10-28 18:51:06.193531|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:真的
2023-10-28 18:52:49.198821|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:我現在有個想法
2023-10-28 18:53:18.550240|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:<@904255528526548993> 三小
2023-10-28 18:53:34.527888|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字weave_summer#0message:剛剛該不會有活人吧
2023-10-28 18:53:37.251739|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字weave_summer#0message:抱歉XD
2023-10-28 18:53:49.491327|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字weave_summer#0message:我想說都關mic
2023-10-28 18:53:54.525187|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字weave_summer#0message:https://media.discordapp.net/attachments/1005167410350923887/1040544137662971965/905048521181376552-2.gif
2023-10-28 18:54:03.855738|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:我也是活人，我只是不常開mic
2023-10-28 18:54:21.504503|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:weeeeeeee
2023-10-28 18:55:01.231928|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:<@904255528526548993> 道歉總是很誠懇但他還會再犯
2023-10-28 19:19:55.511544|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字love_shao_shi#0message:Vulcan 跟toyz 既視感
2023-10-28 19:20:18.911652|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:笑死
2023-10-28 19:23:41.206360|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:笑爛
2023-10-28 20:46:02.221251|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:<@769496730071990303>
2023-10-28 20:46:43.277844|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字koumusictw#0message:你知道Carlbot的回覆指令嗎？
2023-10-28 20:53:44.690599|亞洲拆遷團隊  科技安全討論區所屬【中文】常規文字a1i4e_#0message:modcheck
2024-05-09 21:26:13.552340|test一般wesily_test#0message:a!copy 2
2024-05-09 21:37:23.001868|test一般wesily_testmessage:a!copy 2
2024-05-09 21:39:18.536354|test一般wesily_testmessage:a!copy 2
2024-05-09 21:45:06.684158|test一般wesily_testmessage:a!copy 2
2024-05-09 21:47:29.130575|test一般wesily_testmessage:a!copy 2
2024-05-09 21:58:51.312854|test一般wesily_testmessage:a!copy 2
2024-05-09 22:24:42.674854|test一般wesily_testmessage:a!copy 2
2024-05-09 22:27:14.802063|test一般wesily_testmessage:a!copy 2
2024-05-09 22:27:59.210009|test一般wesily_testmessage:a!copy 20
2024-05-09 22:32:34.899923|test一般wesily_testmessage:a!copy 20
2024-05-09 22:32:46.090999|test一般wesily_testmessage:a!copy 20
2024-05-09 22:34:09.040133|test一般wesily_testmessage:a!copy 20
2024-05-09 22:36:01.451685|test一般wesily_testmessage:a!verify 12345678
2024-05-09 22:36:35.470508|test一般wesily_testmessage:a!help
2024-05-09 22:36:57.874939|test一般wesily_testmessage:a!unverify
2024-05-09 22:37:11.634315|test一般wesily_testmessage:a!help
2024-05-09 22:37:23.430764|test一般wesily_testmessage:a!help
2024-05-09 22:39:55.394441|test一般wesily_testmessage:a!help
2024-05-09 22:40:01.825899|test一般wesily_testmessage:a!help
2024-05-09 22:40:06.346227|test一般wesily_testmessage:a!help
2024-05-09 22:41:51.302669|test一般wesily_testmessage:a!help
2024-05-09 22:41:54.073754|test一般wesily_testmessage:a!help
2024-05-09 22:42:05.310859|test一般wesily_testmessage:a!verify 12345678
2024-05-09 22:43:48.156402|test一般wesily_testmessage:a!help
2024-05-09 22:43:54.237619|test一般wesily_testmessage:a!help
2024-05-09 22:44:04.781339|test一般wesily_testmessage:a!verify 12345678
2024-05-09 22:50:30.478930|test一般wesily_testmessage:a!copy 20
2024-05-09 22:52:31.934724|test一般wesily_testmessage:a!copy 20
2024-05-09 22:52:45.169092|test一般wesily_testmessage:a!verify 12345678
2024-05-09 22:52:49.564579|test一般wesily_testmessage:a!verify 12345678
2024-05-09 22:53:06.751398|test一般wesily_testmessage:a!verify 12345678
2024-05-09 22:53:16.394362|test一般wesily_testmessage:a!unverify 12345678
2024-05-09 22:53:22.737885|test一般wesily_testmessage:a!verify 12345678
2024-05-09 22:53:32.740086|test一般wesily_testmessage:a!unverify
2024-05-09 22:56:28.843664|test一般wesily_testmessage:a!copy 20
2024-05-09 22:57:27.035756|test一般wesily_testmessage:a!copy 20
2024-05-09 22:57:38.962436|test一般wesily_testmessage:a!copy 20
2024-05-09 22:57:40.628287|test一般wesily_testmessage:a!copy 20
2024-05-09 22:57:41.447968|test一般wesily_testmessage:a!copy 20
2024-05-09 22:57:46.603331|test一般wesily_testmessage:a!help
2024-05-09 22:58:31.862888|test一般wesily_testmessage:a!copy 20
2024-05-09 22:58:40.521269|test一般wesily_testmessage:a!copy 20
2024-05-09 23:02:33.819851|test一般wesily_testmessage:a!copy 20
2024-09-30 09:04:05.805202|亞洲拆遷團隊  亞濠娛樂commandwesily0309message:a!help
2024-09-30 09:04:28.144561|亞洲拆遷團隊  亞濠娛樂commandwesily0309message:a!help
2024-09-30 09:07:30.711268|科技安全討論區🤖》｜指令wesily0309message:a!help
2024-09-30 09:11:30.119749|科技安全討論區（備份）指令頻道wesily0309message:a!help
2024-09-30 09:15:01.679033|科技安全討論區（備份）指令頻道wesily0309message:a!help
2024-09-30 09:16:40.637797|科技安全討論區（備份）指令頻道wesily0309message:a!help
2024-09-30 09:18:01.650336|科技安全討論區（備份）指令頻道wesily0309message:a!help
2024-10-07 09:12:32.690712|科技安全討論區（備份）commandplayer875message:a!hel[
2024-10-07 09:12:40.785712|科技安全討論區（備份）commandplayer875message:a!help
2024-10-07 09:13:11.172366|科技安全討論區（備份）commandplayer875message:a!verify
2024-10-07 09:14:22.896861|科技安全討論區（備份）commandplayer875message:a!verify 12345678
2024-10-07 09:14:37.049390|科技安全討論區（備份）commandplayer875message:a!say 123
2024-10-07 09:16:07.982558|科技安全討論區（備份）commandplayer875message:a!unverify
2024-10-07 09:35:49.221963|科技安全討論區（備份）commandplayer875message:a!verify 12345678
